Table S3: 242 DEGs between control normal and SLE samples,,,,,,
id,logFC,AveExpr,t,P.Value,adj.P.Val,B
MX2,0.724842881,6.500565401,13.09238815,9.63E-34,5.42E-30,65.7881202
SIGLEC1,1.609550543,5.360543279,12.3161595,1.64E-30,2.64E-27,58.47077927
KIR2DL3,-0.781907825,4.156058377,-12.13009565,9.43E-30,1.33E-26,56.75062007
IFIT3,1.075764997,6.124955002,11.87765415,9.89E-29,1.11E-25,54.43906424
EIF1AY,-1.093910947,2.884010354,-11.20926067,4.38E-26,2.06E-23,48.44952663
RSAD2,1.258147388,5.879946746,10.68516611,4.52E-24,1.16E-21,43.89536163
IFI27,1.695532265,5.807325405,10.65021268,6.13E-24,1.50E-21,43.59633502
SQRDL,0.817997129,6.438107193,10.4911332,2.43E-23,4.98E-21,42.24308011
OAS1,0.802155038,5.817247983,10.47886381,2.70E-23,5.44E-21,42.13923415
CD247,-0.737606645,5.794827046,-10.44739135,3.55E-23,6.77E-21,41.87320483
FCGR2C,0.908924677,5.35748337,10.3630886,7.31E-23,1.27E-20,41.1630958
ZCCHC2,0.848919004,5.09673396,10.3489377,8.25E-23,1.41E-20,41.04425448
DSC1,-0.744525815,3.118725564,-10.34655425,8.42E-23,1.41E-20,41.024248
DVL1,0.807112157,5.054765574,10.33584173,9.23E-23,1.52E-20,40.93436427
ABCB1,-0.705514027,3.839308062,-10.25645576,1.82E-22,2.84E-20,40.27012003
RPS4Y1,-1.299390871,3.833442783,-10.23211978,2.23E-22,3.34E-20,40.06714889
IFIT1,1.11251415,6.034639046,10.21819838,2.51E-22,3.67E-20,39.95117805
TLR2,0.989632804,6.137370956,10.20211181,2.88E-22,4.10E-20,39.81729665
C1D,0.875204699,4.918680824,10.1590666,4.15E-22,5.76E-20,39.45971721
OASL,0.838978771,5.688954754,10.09168151,7.32E-22,9.58E-20,38.90190503
SERPING1,0.84825071,4.939040515,9.963546101,2.14E-21,2.46E-19,37.84786838
HIF1A,0.773018858,6.392142156,9.898348754,3.69E-21,4.07E-19,37.31494704
FCER1A,-0.7710077,4.998480591,-9.805024578,8.00E-21,7.76E-19,36.55614242
SYNGR2,1.041926458,5.572455731,9.785972816,9.36E-21,8.85E-19,36.40182207
DDX60,0.720432654,5.864773479,9.771858361,1.05E-20,9.74E-19,36.2876231
CSTA,0.988529926,6.718733876,9.761948085,1.14E-20,1.03E-18,36.20750551
SECTM1,0.712331365,5.422308172,9.731062766,1.47E-20,1.28E-18,35.95816782
IFIT5,0.86366738,5.544895874,9.662641489,2.58E-20,2.06E-18,35.40768844
MAGEL2,-0.784472869,2.995844823,-9.552392754,6.34E-20,4.51E-18,34.52620382
RCOR1,0.805884719,4.938859783,9.547238681,6.61E-20,4.65E-18,34.4851626
GJC1,-1.704794786,3.233973007,-9.51247845,8.76E-20,5.90E-18,34.20876489
F2R,-1.420133743,4.078244323,-9.488026678,1.07E-19,7.07E-18,34.01474714
BCL2A1,1.097380543,6.209059186,9.47933158,1.15E-19,7.50E-18,33.94583623
ITIH5,-1.481223136,3.313218732,-9.470282884,1.23E-19,7.97E-18,33.87416881
GABARAP,0.940598571,6.816284548,9.462035441,1.32E-19,8.42E-18,33.80888826
GLUL,0.824158683,5.712463795,9.447729966,1.48E-19,9.35E-18,33.69574922
CYB5B,-0.718315353,4.506069401,-9.426556284,1.75E-19,1.10E-17,33.52850635
UBE2K,0.759987792,5.345703045,9.410325843,2.00E-19,1.22E-17,33.40048266
MSH3,-1.101458862,4.606015703,-9.40610471,2.07E-19,1.24E-17,33.36721173
CLUAP1,-0.94101991,4.479131419,-9.403329385,2.11E-19,1.26E-17,33.34534224
USP9Y,-0.903721227,2.394785696,-9.391523281,2.32E-19,1.36E-17,33.25236005
SSTR2,-0.794829888,3.372868685,-9.384858998,2.45E-19,1.42E-17,33.19990918
HIST1H2AJ,1.166491986,4.98717497,9.355677712,3.10E-19,1.73E-17,32.97054175
GALNT7,0.880865709,4.83361868,9.344503964,3.39E-19,1.88E-17,32.88284566
ZNF549,-1.247185017,3.471487793,-9.308848325,4.51E-19,2.37E-17,32.60349056
IFI44L,1.081481586,6.116976714,9.275332844,5.89E-19,3.00E-17,32.34157833
NDUFS6,1.402641739,5.681880747,9.243996713,7.55E-19,3.76E-17,32.09729105
IER2,0.917854151,6.890016222,9.232915966,8.25E-19,4.05E-17,32.01104659
APOL6,0.765404435,5.135422237,9.140320997,1.72E-18,7.79E-17,31.29318355
ZNF223,-0.854118025,3.772251858,-9.139687095,1.72E-18,7.80E-17,31.28828657
CHRNA5,-1.026060533,3.223235695,-9.122563603,1.97E-18,8.68E-17,31.15609545
TUBB3,0.857703741,5.326634733,9.119796667,2.02E-18,8.81E-17,31.13475143
KIAA1751,-0.703597398,3.731870429,-9.110854129,2.16E-18,9.30E-17,31.06580024
PRKAR2B,1.04023965,5.368716672,9.100953103,2.34E-18,1.00E-16,30.98951423
CHST11,0.810729746,5.389554461,9.080556542,2.75E-18,1.15E-16,30.8325459
DNTTIP2,0.772235319,5.486005684,9.044114561,3.65E-18,1.47E-16,30.55271415
SLPI,1.115876434,5.566765386,9.025216641,4.24E-18,1.69E-16,30.40791382
CENPB,-0.721413281,4.341192595,-8.979270319,6.06E-18,2.29E-16,30.05675887
USP18,0.97203918,4.799317075,8.968377341,6.60E-18,2.48E-16,29.97369372
ROCK2,-1.03540852,4.670839629,-8.929383741,8.94E-18,3.18E-16,29.67693447
BRAP,0.717009657,4.627212705,8.909476501,1.04E-17,3.65E-16,29.52578721
LSP1,0.793161539,6.260307665,8.885736298,1.25E-17,4.24E-16,29.34585344
LAIR1,-0.820394436,5.354507864,-8.885595635,1.25E-17,4.24E-16,29.34478834
AKR1D1,-1.551612931,3.241611556,-8.849657044,1.66E-17,5.48E-16,29.07305765
HLA-C,0.772904248,7.155036812,8.846810273,1.69E-17,5.59E-16,29.05156709
CHRNB2,0.711312163,4.307621956,8.837743357,1.82E-17,5.82E-16,28.98315316
RPL34,0.846440578,7.237435332,8.830486937,1.92E-17,6.14E-16,28.92843657
UFD1L,0.797791674,5.849700322,8.817225664,2.13E-17,6.61E-16,28.82852435
PF4,1.424437907,6.448344722,8.812412524,2.21E-17,6.79E-16,28.79228824
CLU,0.87215516,5.223884599,8.789382787,2.63E-17,7.95E-16,28.61910449
RBM8A,0.706403071,5.017265054,8.783856214,2.75E-17,8.27E-16,28.57759328
NAG18,-1.668621785,3.253894293,-8.771334178,3.02E-17,8.98E-16,28.48360752
