,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,ClinVar_2025,INFLAMMATORY BOWEL DISEASE,1/15,0.0037446970839379,0.0078591599587067,0,0,356.80357142857144,1993.609466758919,ABCB1
1,ClinVar_2025,SEVERE COMBINED IMMUNODEFICIENCY DISEASE,1/21,0.0052394399724711,0.0078591599587067,0,0,249.6875,1311.2440590040192,CD247
2,ClinVar_2025,IMMUNODEFICIENCY,1/77,0.0191040927721202,0.0191040927721202,0,0,65.52302631578948,259.33048567400635,CD247
3,GWAS_Catalog_2025,Cerebral Microbleeds,1/6,0.0014992198216206,0.0157371238668151,0,0,999.5,6499.5590198897235,ABCB1
4,GWAS_Catalog_2025,Bone Mineral Density (Spine) And Age At Menarche,1/6,0.0014992198216206,0.0157371238668151,0,0,999.5,6499.5590198897235,ABCB1
5,GWAS_Catalog_2025,Tau Burden,1/9,0.0022481605524021,0.0157371238668151,0,0,624.59375,3808.549663430724,MX2
6,GWAS_Catalog_2025,Parkinson Disease And Lewy Body Pathology,1/9,0.0022481605524021,0.0157371238668151,0,0,624.59375,3808.549663430724,MX2
7,GWAS_Catalog_2025,Celiac Disease Or Rheumatoid Arthritis,1/14,0.0034953988931204,0.0174752530583772,0,0,384.2692307692308,2173.545038576915,CD247
8,GWAS_Catalog_2025,Medication Use (Glucocorticoids),1/15,0.0037446970839379,0.0174752530583772,0,0,356.80357142857144,1993.609466758919,CD247
9,GWAS_Catalog_2025,Asthma (Moderate Or Severe),1/23,0.0057372891133286,0.0229491564533145,0,0,226.9659090909091,1171.3185051583378,CD247
10,GWAS_Catalog_2025,Neurological Blood Protein Biomarker Levels,1/37,0.0092166585448215,0.0285851265190734,0,0,138.60416666666666,649.6020692107373,ABCB1
11,GWAS_Catalog_2025,"Medication Use (Adrenergics, Inhalants)",1/38,0.0094648118959368,0.0285851265190734,0,0,134.85135135135135,628.4308110799436,CD247
12,GWAS_Catalog_2025,Melanoma,1/41,0.0102089737568119,0.0285851265190734,0,0,124.71875,571.7716333774792,MX2
13,GWAS_Catalog_2025,Nevus Count Or Cutaneous Melanoma,1/54,0.0134285105037049,0.0341816631003398,0,0,94.06603773584904,405.45991459490074,MX2
14,GWAS_Catalog_2025,Cutaneous Malignant Melanoma,1/64,0.0158993733235186,0.0353078953503721,0,0,79.0952380952381,327.57099739379095,MX2
15,GWAS_Catalog_2025,Pre-Treatment Viral Load In Hiv-1,1/66,0.0163929514126727,0.0353078953503721,0,0,76.65384615384616,315.11658961920176,CD247
16,GWAS_Catalog_2025,Autoimmune Thyroid Disease,1/73,0.0181189156620487,0.0362378313240974,0,0,69.17708333333333,277.45536435713205,CD247
17,GWAS_Catalog_2025,Systemic Sclerosis,1/83,0.0205803757988252,0.0377362592926787,0,0,60.71036585365854,235.76368433833323,CD247
18,GWAS_Catalog_2025,Asthma (Adult Onset),1/87,0.0215635767386735,0.0377362592926787,0,0,57.875,222.05188597816456,CD247
19,GWAS_Catalog_2025,Medication Use (Thyroid Preparations),1/93,0.023036897706439,0.0379431256341349,0,0,54.08423913043478,203.9331743799736,CD247
20,GWAS_Catalog_2025,Allergic Rhinitis,1/127,0.0313522329588074,0.0469215178113929,0,0,39.42261904761905,136.49962740373687,CD247
21,GWAS_Catalog_2025,Celiac Disease,1/129,0.0318396013720166,0.0469215178113929,0,0,38.802734375,133.75474969906264,CD247
22,GWAS_Catalog_2025,Liver Enzyme Levels (Alanine Transaminase),1/141,0.0347596941750011,0.0486635718450015,0,0,35.455357142857146,119.10506697068962,ABCB1
23,GWAS_Catalog_2025,Asthma Or Allergic Disease (Pleiotropy),1/149,0.0367025054388785,0.0489366739185047,0,0,33.52533783783784,110.79823292863162,CD247
