Pathway_ID,Description,Associated_Genes,gene_name
hsa02010,ABC transporters,"['ABCC5', 'ABCB6', 'ABCC9', 'ABCC4', 'ABCA7', 'ABCA10', 'ABCA9', 'ABCA8', 'CFTR', 'ABCB8', 'ABCC2', 'ABCA13', 'DEFB1', 'ABCA1', 'ABCA2', 'ABCA3', 'ABCD1', 'ABCB7', 'ABCD2', 'ABCB10', 'ABCB9', 'ABCA6', 'ABCA5', 'ABCA4', 'ABCA12', 'ABCB5', 'ABCC6', 'ABCC1', 'ABCB1', 'ABCB4', 'ABCD3', 'ABCD4', 'ABCG4', 'ABCG5', 'ABCG8', 'ABCC8', 'TAP1', 'TAP2', 'ABCC11', 'ABCB11', 'ABCC3', 'ABCC10', 'ABCC12', 'ABCG2', 'ABCG1']",ABCB1
hsa04976,Bile secretion,"['ABCC4', 'SLCO1B1', 'ADCY1', 'UGT2B11', 'ADCY2', 'CFTR', 'SLC22A7', 'ADCY3', 'UGT2A1', 'SLC27A5', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'SLCO1B3-SLCO1B7', 'SLC51B', 'ABCC2', 'CYP3A4', 'CYP7A1', 'ADCY4', 'SLC51A', 'EPHX1', 'ATP1B4', 'GNAS', 'SLCO1B3', 'HMGCR', 'AQP8', 'AQP1', 'AQP4', 'AQP9', 'KCNN2', 'LDLR', 'ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4', 'ATP1B1', 'ATP1B2', 'ATP1B3', 'FXYD2', 'ABCB1', 'ABCB4', 'UGT2B28', 'UGT1A10', 'UGT1A8', 'UGT1A7', 'UGT1A6', 'UGT1A5', 'UGT1A9', 'UGT1A4', 'UGT1A1', 'UGT1A3', 'PRKACA', 'PRKACB', 'PRKACG', 'BAAT', 'UGT2A2', 'NCEH1', 'SLC4A5', 'RXRA', 'SCT', 'SCTR', 'ABCG5', 'ABCG8', 'SLC2A1', 'SLC4A2', 'SLC5A1', 'SLC9A1', 'SLC9A3', 'SLC10A1', 'SLC10A2', 'SLCO1A2', 'SLC22A1', 'SULT2A1', 'UGT2B4', 'UGT2B7', 'UGT2B10', 'UGT2B15', 'UGT2B17', 'CA2', 'UGT2A3', 'NR0B2', 'ABCB11', 'SLC4A4', 'ABCC3', 'SLC22A8', 'ABCG2', 'SCARB1', 'NR1H4']",ABCB1
hsa05206,MicroRNAs in cancer,"['HDAC5', 'BCL2L11', 'MIR103B1', 'MIR103B2', 'MIR449C', 'MIR23C', 'COMMD3-BMI1', 'MIR203B', 'CDK6', 'SPRY2', 'CDKN1A', 'CDKN1B', 'CDKN2A', 'APC2', 'PAK4', 'IGF2BP1', 'P3R3URF-PIK3R3', 'RASSF1', 'CDCA5', 'EFNA4-EFNA3', 'TRIM71', 'CREBBP', 'CRK', 'CRKL', 'CYP1B1', 'CYP24A1', 'DNMT1', 'DNMT3A', 'DNMT3B', 'E2F1', 'E2F2', 'E2F3', 'EFNA1', 'EFNA2', 'EFNA3', 'EFNA4', 'EFNA5', 'EGFR', 'EP300', 'ERBB2', 'ERBB3', 'EZH2', 'FGFR3', 'DICER1', 'SIRT1', 'ZFPM2', 'MTOR', 'ABL1', 'FOXP1', 'GLS2', 'PDCD4', 'GLS', 'GRB2', 'HDAC1', 'HDAC2', 'HMOX1', 'HNRNPK', 'HOXD10', 'APC', 'HRAS', 'TNC', 'IKBKB', 'IRS1', 'ITGA5', 'ITGB3', 'KRAS', 'RHOA', 'STMN1', 'SHC4', 'MIRLET7A1', 'MIRLET7A2', 'MIRLET7A3', 'MIRLET7B', 'MIRLET7C', 'MIRLET7D', 'MIRLET7E', 'MIRLET7F1', 'MIRLET7F2', 'MIRLET7G', 'MIRLET7I', 'MIR100', 'MIR101-1', 'MIR101-2', 'MIR103A1', 'MIR103A2', 'MIR106A', 'MIR106B', 'MIR107', 'MIR10A', 'MIR10B', 'MIR1-1', 'MIR1-2', 'MIR122', 'MIR124-1', 'MIR124-2', 'MIR124-3', 'MIR125A', 'MIR125B1', 'MIR125B2', 'MIR126', 'MIR128-1', 'MIR128-2', 'MIR129-1', 'MIR129-2', 'MIR133A1', 'MIR133A2', 'MIR135A1', 'MIR135A2', 'MIR137', 'MIR141', 'MIR143', 'MIR145', 'MIR146A', 'MIR150', 'MIR152', 'MIR155', 'MIR15A', 'MIR15B', 'MIR16-1', 'MIR16-2', 'MIR17', 'MIR18A', 'MIR181A2', 'MIR181B1', 'MIR181B2', 'MIR181C', 'MIR183', 'MIR192', 'MIR194-1', 'MIR194-2', 'MIR195', 'MIR199A1', 'MIR199A2', 'MIR199B', 'MIR19A', 'MIR19B1', 'MIR19B2', 'MIR20A', 'MIR200A', 'MIR200B', 'MIR200C', 'MIR203A', 'MIR205', 'MIR206', 'MIR21', 'MIR210', 'MIR181A1', 'MIR214', 'MIR215', 'MIR221', 'MIR222', 'MIR223', 'MIR224', 'MIR23A', 'MIR23B', 'MIR25', 'MIR26A1', 'MIR26A2', 'MIR26B', 'MIR27A', 'MIR27B', 'MIR28', 'MIR29A', 'MIR29B1', 'MIR29B2', 'MIR29C', 'MIR30A', 'MIR30B', 'MIR30C1', 'MIR30C2', 'MIR30D', 'MIR30E', 'MIR31', 'MIR32', 'MIR34A', 'MIR34B', 'MIR34C', 'MIR7-1', 'MIR7-2', 'MIR7-3', 'MIR9-1', 'MIR9-2', 'MIR92A1', 'MIR92A2', 'MIR9-3', 'MIR96', 'MIR98', 'MIR99A', 'MIR99B', 'MARCKS', 'MCL1', 'MDM2', 'MDM4', 'MET', 'MMP9', 'MMP16', 'ABCC1', 'MIR133B', 'MIR135B', 'MIR324', 'MIR326', 'MIR330', 'MIR331', 'MIR335', 'MIR342', 'MIR345', 'MIR373', 'MYC', 'ATM', 'NFKB1', 'NOTCH1', 'NOTCH2', 'NOTCH3', 'NOTCH4', 'NRAS', 'MIR375', 'MIR423', 'PDGFA', 'PDGFB', 'PDGFRA', 'PDGFRB', 'ABCB1', 'SERPINB5', 'PIK3CA', 'PIK3CB', 'PIM1', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PLAU', 'PLCG1', 'PLCG2', 'DDIT4', 'MIR449A', 'PRKCA', 'PRKCB', 'PRKCE', 'PRKCG', 'MAPK1', 'MAPK3', 'MAPK7', 'MAP2K1', 'MAP2K2', 'PTEN', 'MIR363', 'MIR20B', 'MIR18B', 'PTGS2', 'MIR451A', 'MIR146B', 'MIR494', 'MIR193B', 'MIR181D', 'MIR520E', 'MIR520A', 'MIR520B', 'MIR520C', 'MIR520G', 'MIR520H', 'RPTOR', 'BAK1', 'RAF1', 'CCND1', 'BCL2', 'RDX', 'BCL2L2', 'ROCK1', 'MIR483', 'TNN', 'SHC1', 'BMI1', 'SLC7A1', 'BMPR2', 'FSCN1', 'SOS1', 'SOS2', 'SOX4', 'BRCA1', 'ST14', 'STAT3', 'MIR449B', 'MIR602', 'MIR615', 'MIR625', 'ZEB1', 'TGFB2', 'THBS1', 'TIMP3', 'TNR', 'TNXB', 'TP53', 'TPM1', 'UBE2I', 'VEGFA', 'EZR', 'VIM', 'WNT3', 'FZD3', 'HMGA2', 'CASP3', 'RECK', 'PIK3R3', 'SLC45A3', 'TP63', 'SOCS1', 'IRS2', 'CCND2', 'WNT3A', 'CCNE1', 'CCNG1', 'BMF', 'CCNE2', 'RPS6KA5', 'KIF23', 'CD44', 'HDAC4', 'ZEB2', 'CDC25A', 'CDC25B', 'CDC25C']",ABCB1
hsa05226,Gastric cancer,"['AKT3', 'FRAT1', 'CDH17', 'CDK2', 'CDKN1A', 'CDKN1B', 'APC2', 'CDKN2B', 'CDX2', 'GADD45G', 'P3R3URF-PIK3R3', 'FZD10', 'CSNK1A1L', 'CSNK1A1', 'CTNNA1', 'CTNNA2', 'CTNNB1', 'DDB2', 'GADD45A', 'DVL1', 'DVL2', 'DVL3', 'E2F1', 'E2F2', 'E2F3', 'EGF', 'EGFR', 'ERBB2', 'AKT1', 'AKT2', 'FGF1', 'FGF2', 'FGF3', 'FGF4', 'FGF5', 'FGF6', 'FGF7', 'FGF8', 'FGF9', 'FGF10', 'FGFR2', 'FRAT2', 'MTOR', 'FZD2', 'GAB1', 'SHC2', 'FGF20', 'FGF21', 'FGF22', 'GRB2', 'CTNNA3', 'GSK3B', 'HGF', 'APC', 'HRAS', 'ARAF', 'JUP', 'KRAS', 'SHC4', 'LRP6', 'LRP5', 'SMAD2', 'SMAD3', 'SMAD4', 'MET', 'MLH1', 'MUC2', 'MYC', 'GADD45B', 'NRAS', 'LEF1', 'WNT16', 'POLK', 'ABCB1', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'SHC3', 'WNT4', 'MAPK1', 'MAPK3', 'MAP2K1', 'MAP2K2', 'BAK1', 'BAX', 'RAF1', 'RARB', 'RB1', 'CCND1', 'BCL2', 'RPS6KB1', 'RPS6KB2', 'RXRA', 'RXRB', 'RXRG', 'SHC1', 'SHH', 'SOS1', 'SOS2', 'BRAF', 'TCF7', 'TCF7L2', 'TERC', 'TERT', 'TGFB1', 'TGFB2', 'TGFB3', 'TGFBR1', 'TGFBR2', 'TP53', 'WNT1', 'WNT2', 'WNT3', 'WNT5A', 'WNT6', 'WNT7A', 'WNT7B', 'WNT8A', 'WNT8B', 'WNT10B', 'WNT11', 'WNT2B', 'WNT9A', 'WNT9B', 'FZD5', 'FZD3', 'WNT10A', 'FGF23', 'WNT5B', 'AXIN1', 'AXIN2', 'FZD1', 'FZD4', 'FZD6', 'FZD7', 'FZD8', 'FZD9', 'TCF7L1', 'REG4', 'PIK3R3', 'FGF18', 'FGF17', 'FGF16', 'WNT3A', 'CCNE1', 'CCNE2', 'FGF19', 'CDH1']",ABCB1
hsa04650,Natural killer cell mediated cytotoxicity,"['KIR2DS2', 'MICA', 'KLRC4-KLRK1', 'IGH', 'VAV3', 'HCST', 'P3R3URF-PIK3R3', 'SH2D1B', 'FCGR3B', 'RAET1E', 'CSF2', 'RAET1L', 'PTK2B', 'FCER1G', 'FCGR3A', 'FCGR3B', 'KLRK1', 'FYN', 'SHC2', 'NCR3', 'LAT', 'GRB2', 'GZMB', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-G', 'HRAS', 'ICAM1', 'ICAM2', 'IFNA1', 'IFNA2', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNA10', 'IFNA13', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNAR1', 'IFNAR2', 'IFNB1', 'IFNG', 'IFNGR1', 'IFNGR2', 'RAET1G', 'FAS', 'FASLG', 'ITGAL', 'ITGB2', 'ARAF', 'KIR2DL1', 'KIR2DL2', 'KIR2DL3', 'KIR2DL4', 'KIR2DS1', 'KIR2DS3', 'KIR2DS4', 'KIR2DS5', 'KIR3DL1', 'KIR3DL2', 'KLRC1', 'KLRC2', 'KLRC3', 'KLRD1', 'KRAS', 'LCK', 'LCP2', 'SHC4', 'SH2D1A', 'MICB', 'NFATC1', 'NFATC2', 'NRAS', 'PAK1', 'CD244', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PLCG1', 'SHC3', 'PLCG2', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'PRF1', 'PRKCA', 'PRKCB', 'PRKCG', 'MAPK1', 'MAPK3', 'MAP2K1', 'MAP2K2', 'KIR2DL5A', 'PTPN6', 'PTPN11', 'RAC1', 'RAC2', 'RAC3', 'RAF1', 'BID', 'SH3BP2', 'SHC1', 'SOS1', 'SOS2', 'BRAF', 'SYK', 'TNF', 'TYROBP', 'VAV1', 'VAV2', 'LAT2', 'ZAP70', 'ULBP3', 'ULBP2', 'ULBP1', 'CASP3', 'PIK3R3', 'TNFSF10', 'TNFRSF10B', 'TNFRSF10A', 'CD247', 'NCR2', 'NCR1', 'CD48']",CD247
hsa04658,Th1 and Th2 cell differentiation,"['DLL3', 'RBPJL', 'CHUK', 'MAPK14', 'JAG1', 'FOS', 'GATA3', 'LAT', 'DLL1', 'TBX21', 'HLA-DMA', 'HLA-DMB', 'HLA-DOA', 'HLA-DOB', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DQB2', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB3', 'HLA-DRB4', 'HLA-DRB5', 'IFNG', 'IFNGR1', 'IFNGR2', 'RBPJ', 'IKBKB', 'IL2', 'IL2RA', 'IL2RB', 'IL2RG', 'IL4', 'IL4R', 'IL5', 'IL12A', 'IL12B', 'IL12RB1', 'IL12RB2', 'IL13', 'JAG2', 'JAK1', 'JAK2', 'JAK3', 'JUN', 'LCK', 'MAF', 'NFATC1', 'NFATC2', 'NFATC3', 'NFKB1', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'NOTCH1', 'NOTCH2', 'NOTCH3', 'PLCG1', 'DLL4', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'MAML3', 'PRKCQ', 'MAPK1', 'MAPK3', 'MAPK8', 'MAPK11', 'MAPK9', 'MAPK10', 'MAPK13', 'RELA', 'MAPK12', 'STAT1', 'STAT4', 'STAT5A', 'STAT5B', 'STAT6', 'TYK2', 'ZAP70', 'MAML2', 'IKBKG', 'RUNX3', 'CD3D', 'CD3E', 'CD3G', 'CD247', 'CD4', 'MAML1']",CD247
hsa04659,Th17 cell differentiation,"['EBI3', 'IL17F', 'CHUK', 'MAPK14', 'IL23R', 'AHR', 'FOS', 'IL27', 'MTOR', 'GATA3', 'LAT', 'TBX21', 'HIF1A', 'HLA-DMA', 'HLA-DMB', 'HLA-DOA', 'HLA-DOB', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DQB2', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB3', 'HLA-DRB4', 'HLA-DRB5', 'HSP90AA1', 'HSP90AB1', 'IFNG', 'IFNGR1', 'IFNGR2', 'IKBKB', 'IL1B', 'IL1R1', 'IL1RAP', 'IL2', 'IL2RA', 'IL2RB', 'IL2RG', 'IL4', 'IL4R', 'IL6', 'IL6R', 'IL6ST', 'IL12RB1', 'IL17A', 'IRF4', 'JAK1', 'JAK2', 'JAK3', 'JUN', 'LCK', 'SMAD2', 'SMAD3', 'SMAD4', 'NFATC1', 'NFATC2', 'NFATC3', 'NFKB1', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'IL21R', 'IL22', 'FOXP3', 'IL23A', 'PLCG1', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'PRKCQ', 'MAPK1', 'MAPK3', 'MAPK8', 'MAPK11', 'MAPK9', 'MAPK10', 'MAPK13', 'IL21', 'RARA', 'RELA', 'RORA', 'RORC', 'RXRA', 'RXRB', 'RXRG', 'MAPK12', 'STAT1', 'STAT3', 'STAT5A', 'STAT5B', 'STAT6', 'TGFB1', 'TGFBR1', 'TGFBR2', 'TYK2', 'ZAP70', 'IKBKG', 'RUNX1', 'CD3D', 'CD3E', 'CD3G', 'CD247', 'CD4', 'IL27RA']",CD247
hsa04660,T cell receptor signaling pathway,"['AKT3', 'RASGRP1', 'CDK4', 'PAK4', 'VAV3', 'BUB1B-PAK6', 'MALT1', 'P3R3URF-PIK3R3', 'CHUK', 'MAP3K8', 'MAPK14', 'CSF2', 'CTLA4', 'DLG1', 'AKT1', 'AKT2', 'FOS', 'FYN', 'LAT', 'PPP2R3B', 'GRB2', 'GSK3B', 'ICOS', 'HRAS', 'IFNG', 'IKBKB', 'IL2', 'IL4', 'IL5', 'IL10', 'ITK', 'JUN', 'KRAS', 'RHOA', 'LCK', 'LCP2', 'NCK1', 'NFATC1', 'NFATC2', 'NFATC3', 'NFKB1', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'NRAS', 'PAK1', 'PAK2', 'PAK3', 'PDCD1', 'PDPK1', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PLCG1', 'PPP2R3C', 'PPP2CA', 'PPP2CB', 'PPP2R1A', 'PPP2R1B', 'PPP2R2A', 'PPP2R2B', 'PPP2R2C', 'PPP2R3A', 'PPP2R5A', 'PPP2R5B', 'PPP2R5C', 'PPP2R5D', 'PPP2R5E', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP3R2', 'PPP2R2D', 'PRKCQ', 'MAPK1', 'MAPK3', 'MAPK8', 'MAPK11', 'MAPK9', 'MAPK10', 'MAPK13', 'MAP2K1', 'MAP2K2', 'MAP2K7', 'PAK6', 'PAK5', 'PTPN6', 'PTPN11', 'PTPRC', 'RAF1', 'RELA', 'MAPK12', 'SOS1', 'SOS2', 'MAP3K7', 'TEC', 'TNF', 'VAV1', 'VAV2', 'ZAP70', 'NCK2', 'CARD11', 'PIK3R3', 'IKBKG', 'CBLB', 'BCL10', 'MAP3K14', 'CD3D', 'CD3E', 'CD3G', 'CD247', 'CD4', 'CD8A', 'CD8B', 'CD8B2', 'CD28', 'GRAP2', 'CD40LG', 'CDC42']",CD247
hsa05142,Chagas disease,"['AKT3', 'TLR6', 'ADCY1', 'P3R3URF-PIK3R3', 'CHUK', 'MAPK14', 'TICAM1', 'ACE', 'AKT1', 'AKT2', 'PLCB1', 'FOS', 'GNA11', 'GNA15', 'GNAI1', 'GNAI2', 'GNAI3', 'GNAL', 'GNAO1', 'GNAQ', 'GNAS', 'IFNB1', 'IFNG', 'IFNGR1', 'IFNGR2', 'FAS', 'IKBKB', 'IL1B', 'IL2', 'FASLG', 'IL6', 'CXCL8', 'IL10', 'IL12A', 'IL12B', 'IRAK1', 'JUN', 'KNG1', 'SMAD2', 'CCL3L3', 'MYD88', 'NFKB1', 'NFKBIA', 'NOS2', 'SERPINE1', 'IRAK4', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PLCB2', 'PLCB3', 'PLCB4', 'TLR9', 'PPP2CA', 'PPP2CB', 'PPP2R1A', 'PPP2R1B', 'PPP2R2A', 'PPP2R2B', 'PPP2R2C', 'PPP2R2D', 'MAPK1', 'MAPK3', 'MAPK8', 'MAPK11', 'MAPK9', 'MAPK10', 'MAPK13', 'RELA', 'BDKRB2', 'MAPK12', 'CCL2', 'CCL3', 'CCL3L1', 'CCL5', 'MAP2K4', 'TGFB1', 'TGFB2', 'TGFB3', 'TGFBR1', 'TGFBR2', 'TLR2', 'TLR4', 'C1QA', 'TNF', 'C1QB', 'TNFRSF1A', 'C1QC', 'C3', 'TRAF6', 'CALR', 'CASP8', 'PIK3R3', 'IKBKG', 'FADD', 'CFLAR', 'CD3D', 'CD3E', 'CD3G', 'CD247', 'GNA14']",CD247
hsa05169,Epstein-Barr virus infection,"['AKT3', 'BCL2L11', 'CDK2', 'CDK4', 'CDK6', 'PSMD14', 'CDKN1A', 'CDKN1B', 'IGH', 'IRF9', 'TAB1', 'GADD45G', 'P3R3URF-PIK3R3', 'ADRM1', 'RBPJL', 'CHUK', 'CR2', 'MAPK14', 'DDB2', 'GADD45A', 'E2F1', 'E2F2', 'E2F3', 'AKT1', 'AKT2', 'FCER2', 'SNW1', 'TAB2', 'RIGI', 'SIN3A', 'TBK1', 'PDIA3', 'BLNK', 'HDAC1', 'HDAC2', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-DMA', 'HLA-DMB', 'HLA-DOA', 'HLA-DOB', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DQB2', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB3', 'HLA-DRB4', 'HLA-DRB5', 'HLA-E', 'HLA-F', 'HLA-G', 'APAF1', 'HES1', 'ICAM1', 'IFNA1', 'IFNA2', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNA10', 'IFNA13', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA21', 'IFNAR1', 'IFNAR2', 'IFNB1', 'RBPJ', 'FAS', 'IKBKB', 'IL6', 'CXCL10', 'IRAK1', 'IRF3', 'IRF7', 'ITGAL', 'JAK1', 'JAK3', 'JUN', 'ENTPD8', 'LYN', 'MDM2', 'MYC', 'MYD88', 'GADD45B', 'NEDD4', 'NFKB1', 'NFKB2', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'OAS1', 'OAS2', 'OAS3', 'IRAK4', 'POLK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PLCG2', 'CYCS', 'TAPBPL', 'MAPK8', 'MAPK11', 'MAPK9', 'MAPK10', 'MAPK13', 'MAP2K3', 'MAP2K6', 'MAP2K7', 'EIF2AK2', 'B2M', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD7', 'PSMD8', 'PSMD11', 'PSMD12', 'PSMD13', 'MAVS', 'BAK1', 'BAX', 'RAC1', 'RB1', 'CCND1', 'BCL2', 'RELA', 'RELB', 'MAPK12', 'BID', 'MAP2K4', 'SKP2', 'STAT1', 'STAT2', 'STAT3', 'SYK', 'MAP3K7', 'TAP1', 'TAP2', 'TAPBP', 'BTK', 'TLR2', 'TNF', 'TNFAIP3', 'TP53', 'TRAF2', 'TRAF3', 'TRAF5', 'TRAF6', 'TYK2', 'VIM', 'USP7', 'SAP30L', 'SEM1', 'CALR', 'CASP3', 'CASP8', 'CASP9', 'PIK3R3', 'IKBKG', 'RUNX3', 'TRADD', 'RIPK1', 'FADD', 'SAP30', 'CCNA2', 'CCNA1', 'CCND2', 'CCND3', 'CCNE1', 'MAP3K14', 'CCNE2', 'CD3D', 'CD3E', 'CD3G', 'CD247', 'CD19', 'ENTPD1', 'CIRSR', 'ENTPD3', 'CD40', 'CD44', 'NCOR2', 'ISG15', 'IKBKE', 'CD58', 'PSMD6']",CD247
